left_len,right_len,total_empty,n,first,current_player_result,black_initial_result
26,15,41,42,26,L,W
26,16,42,43,26,L,W
26,17,43,44,26,L,W
26,18,44,45,26,L,W
27,1,28,29,27,W,L
27,2,29,30,27,L,W
27,3,30,31,27,L,W
27,4,31,32,27,L,W
27,5,32,33,27,L,W
27,6,33,34,27,L,W
27,7,34,35,27,L,W
27,8,35,36,27,L,W
27,9,36,37,27,L,W
27,10,37,38,27,L,W
27,11,38,39,27,L,W
27,12,39,40,27,L,W
27,13,40,41,27,L,W
27,14,41,42,27,L,W
27,15,42,43,27,L,W
27,16,43,44,27,L,W
27,17,44,45,27,L,W
28,1,29,30,28,W,L
28,2,30,31,28,L,W
28,3,31,32,28,L,W
28,4,32,33,28,L,W
28,5,33,34,28,L,W
28,6,34,35,28,L,W
28,7,35,36,28,L,W
28,8,36,37,28,L,W
28,9,37,38,28,L,W
28,10,38,39,28,L,W
28,11,39,40,28,L,W
28,12,40,41,28,L,W
28,13,41,42,28,L,W
28,14,42,43,28,L,W
28,15,43,44,28,L,W
28,16,44,45,28,L,W
29,1,30,31,29,W,L
29,2,31,32,29,L,W
29,3,32,33,29,L,W
29,4,33,34,29,L,W
29,5,34,35,29,L,W
29,6,35,36,29,L,W
29,7,36,37,29,L,W
29,8,37,38,29,L,W
29,9,38,39,29,L,W
29,10,39,40,29,L,W
29,11,40,41,29,L,W
29,12,41,42,29,L,W
29,13,42,43,29,L,W
29,14,43,44,29,L,W
29,15,44,45,29,L,W
30,1,31,32,30,W,L
30,2,32,33,30,L,W
30,3,33,34,30,L,W
30,4,34,35,30,L,W
30,5,35,36,30,L,W
30,6,36,37,30,L,W
30,7,37,38,30,L,W
30,8,38,39,30,L,W
30,9,39,40,30,L,W
30,10,40,41,30,L,W
30,11,41,42,30,L,W
30,12,42,43,30,L,W
30,13,43,44,30,L,W
30,14,44,45,30,L,W
31,1,32,33,31,W,L
31,2,33,34,31,L,W
31,3,34,35,31,L,W
31,4,35,36,31,L,W
31,5,36,37,31,L,W
31,6,37,38,31,L,W
31,7,38,39,31,L,W
31,8,39,40,31,L,W
31,9,40,41,31,L,W
31,10,41,42,31,L,W
31,11,42,43,31,L,W
31,12,43,44,31,L,W
31,13,44,45,31,L,W
32,1,33,34,32,W,L
32,2,34,35,32,L,W
32,3,35,36,32,L,W
32,4,36,37,32,L,W
32,5,37,38,32,L,W
32,6,38,39,32,L,W
32,7,39,40,32,L,W
32,8,40,41,32,L,W
32,9,41,42,32,L,W
32,10,42,43,32,L,W
32,11,43,44,32,L,W
32,12,44,45,32,L,W
33,1,34,35,33,W,L
33,2,35,36,33,L,W
33,3,36,37,33,L,W
33,4,37,38,33,L,W
33,5,38,39,33,L,W
33,6,39,40,33,L,W
